Bảng,"Tên Index",Cột,"Cho phép trùng (0=No, 1=Yes)","Thứ tự cột trong Index","Độ đa dạng dữ liệu"
bills,idx_bills_user_created,user_id,1,1,0
bills,idx_bills_user_created,created_at,1,2,0
bills,PRIMARY,id,0,1,0
cache,PRIMARY,key,0,1,0
cache_locks,PRIMARY,key,0,1,17
company_profile,company_profile_industry_index,industry,1,1,75
company_profile,company_profile_instrument_id_foreign,instrument_id,1,1,169
company_profile,company_profile_sector_index,sector,1,1,11
company_profile,company_profile_symbol_index,symbol,1,1,169
crawler_states,crawler_states_last_run_at_index,last_run_at,1,1,32
crawler_states,crawler_states_locked_until_index,locked_until,1,1,1
crawler_states,crawler_states_source_index,source,1,1,1
crawler_states,crawler_states_source_symbol_unique,source,0,1,1
crawler_states,crawler_states_source_symbol_unique,symbol,0,2,419
crawler_states,crawler_states_symbol_index,symbol,1,1,419
crawler_states,PRIMARY,id,0,1,419
failed_jobs,failed_jobs_uuid_unique,uuid,0,1,0
failed_jobs,PRIMARY,id,0,1,0
history,idx_history_user_created,user_id,1,1,0
history,idx_history_user_created,created_at,1,2,0
history,PRIMARY,id,0,1,0
indicators,idx_indicators_name,name,1,1,0
indicators,PRIMARY,id,0,1,0
indicators,uq_indicators_slug,slug,0,1,0
instrument_data,idx_data_period_time,instrument_period_id,1,1,113431
instrument_data,idx_data_period_time,timestamps,1,2,12448187
instrument_data,idx_data_period_ts,instrument_period_id,1,1,162378
instrument_data,idx_data_period_ts,timestamps,1,2,12515401
instrument_data,idx_period_time_ohlc,instrument_period_id,1,1,176356
instrument_data,idx_period_time_ohlc,timestamps,1,2,12242101
instrument_data,idx_period_time_ohlc,open,1,3,12536028
instrument_data,idx_period_time_ohlc,close,1,4,12352324
instrument_data,idx_period_time_ohlc,high,1,5,12513984
instrument_data,idx_period_time_ohlc,low,1,6,12403761
instrument_data,idx_period_timestamp,instrument_period_id,1,1,154391
instrument_data,idx_period_timestamp,timestamps,1,2,12690940
